id,type,name,title,width,height,year,commonsUrl,originalUrl,thumbUrl,license,licenseUrl,artist,date,source
"1","위성/지도","Seoul, South Korea (50732566993)","File:Seoul, South Korea (50732566993).png","8554","5262","2020","https://commons.wikimedia.org/wiki/File%3ASeoul%2C_South_Korea_(50732566993).png","https://upload.wikimedia.org/wikipedia/commons/8/86/Seoul%2C_South_Korea_%2850732566993%29.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Seoul%2C_South_Korea_%2850732566993%29.png/960px-Seoul%2C_South_Korea_%2850732566993%29.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY 2.0","https://creativecommons.org/licenses/by/2.0","Sentinel Hub","Taken on 18 December 2020, 07:27","search: Seoul satellite map filetype:bitmap"
"2","항공뷰","Han River aerial view","File:Han River aerial view.jpg","1110","832","2021","https://commons.wikimedia.org/wiki/File%3AHan_River_aerial_view.jpg","https://upload.wikimedia.org/wikipedia/commons/7/7f/Han_River_aerial_view.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Han_River_aerial_view.jpg/960px-Han_River_aerial_view.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Brit in Seoul","2021-01-25 23:59:57","search: Seoul aerial view filetype:bitmap"
"3","항공뷰","View from the Sky Terrace in Seoul","File:View from the Sky Terrace in Seoul.jpg","4032","3024","2021","https://commons.wikimedia.org/wiki/File%3AView_from_the_Sky_Terrace_in_Seoul.jpg","https://upload.wikimedia.org/wikipedia/commons/6/6e/View_from_the_Sky_Terrace_in_Seoul.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/View_from_the_Sky_Terrace_in_Seoul.jpg/960px-View_from_the_Sky_Terrace_in_Seoul.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Christophe95","2021-01-24 17:11:04","Category:Views from Lotte World Tower"
"4","파노라마","Seoul panorama from N Seoul Tower","File:Seoul panorama from N Seoul Tower.jpg","22579","3909","2021","https://commons.wikimedia.org/wiki/File%3ASeoul_panorama_from_N_Seoul_Tower.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d9/Seoul_panorama_from_N_Seoul_Tower.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Seoul_panorama_from_N_Seoul_Tower.jpg/960px-Seoul_panorama_from_N_Seoul_Tower.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","cafuego","2021-08-31 12:49:43","Category:Views from N Seoul Tower"
"5","한강 축","Cityscape of Yeouido skyscrapers and Hangang Railway Bridge 20240501113854","File:Cityscape of Yeouido skyscrapers and Hangang Railway Bridge 20240501113854.jpg","5751","3834","2024","https://commons.wikimedia.org/wiki/File%3ACityscape_of_Yeouido_skyscrapers_and_Hangang_Railway_Bridge_20240501113854.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a1/Cityscape_of_Yeouido_skyscrapers_and_Hangang_Railway_Bridge_20240501113854.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Cityscape_of_Yeouido_skyscrapers_and_Hangang_Railway_Bridge_20240501113854.jpg/960px-Cityscape_of_Yeouido_skyscrapers_and_Hangang_Railway_Bridge_20240501113854.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","TurnOnTheNight","2024-05-01 11:38:54","Category:Yeouido"
"6","파노라마","Seoul city view panorama from Namsan Mountain (49174492133)","File:Seoul city view panorama from Namsan Mountain (49174492133).jpg","8192","1856","2025","https://commons.wikimedia.org/wiki/File%3ASeoul_city_view_panorama_from_Namsan_Mountain_(49174492133).jpg","https://upload.wikimedia.org/wikipedia/commons/4/4b/Seoul_city_view_panorama_from_Namsan_Mountain_%2849174492133%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Seoul_city_view_panorama_from_Namsan_Mountain_%2849174492133%29.jpg/960px-Seoul_city_view_panorama_from_Namsan_Mountain_%2849174492133%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","Matt Kieffer from London, United Kingdom","2025-10-26 01:01:39","search: Seoul panorama filetype:bitmap"
"7","파노라마","Tallest buildings 2022 whether or not FoP","File:Tallest buildings 2022 whether or not FoP.png","2902","1247","2022","https://commons.wikimedia.org/wiki/File%3ATallest_buildings_2022_whether_or_not_FoP.png","https://upload.wikimedia.org/wikipedia/commons/9/96/Tallest_buildings_2022_whether_or_not_FoP.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Tallest_buildings_2022_whether_or_not_FoP.png/960px-Tallest_buildings_2022_whether_or_not_FoP.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Original: Phoenix CZE Derivative work: Ox1997cow","2022-11-25","search: Lotte World Tower view Seoul filetype:bitmap"
"8","파노라마","Yeouido2025","File:Yeouido2025.jpg","2726","2045","2025","https://commons.wikimedia.org/wiki/File%3AYeouido2025.jpg","https://upload.wikimedia.org/wikipedia/commons/4/45/Yeouido2025.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Yeouido2025.jpg/960px-Yeouido2025.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","Kimhs5400","2025-04-23 13:34:25","Category:Yeouido"
"9","한강 축","Han River Seoul skyline Pixabay 1214950","File:Han River Seoul skyline Pixabay 1214950.jpg","5964","2912","2020","https://commons.wikimedia.org/wiki/File%3AHan_River_Seoul_skyline_Pixabay_1214950.jpg","https://upload.wikimedia.org/wikipedia/commons/c/cc/Han_River_Seoul_skyline_Pixabay_1214950.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Han_River_Seoul_skyline_Pixabay_1214950.jpg/960px-Han_River_Seoul_skyline_Pixabay_1214950.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","USAGI_POST","2020-09-09 01:48:01","Category:Skylines in Seoul"
"10","고지대 전경","Seoul Songpagu sunset","File:Seoul Songpagu sunset.jpg","5472","1986","2021","https://commons.wikimedia.org/wiki/File%3ASeoul_Songpagu_sunset.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f1/Seoul_Songpagu_sunset.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Seoul_Songpagu_sunset.jpg/960px-Seoul_Songpagu_sunset.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","cmmellow","2021-10-03 04:09:13","search: Seoul panorama filetype:bitmap"
"11","고지대 전경","Yeouido Skyline seen Yongsan Station 2023","File:Yeouido Skyline seen Yongsan Station 2023.jpg","4000","2252","2023","https://commons.wikimedia.org/wiki/File%3AYeouido_Skyline_seen_Yongsan_Station_2023.jpg","https://upload.wikimedia.org/wikipedia/commons/5/5f/Yeouido_Skyline_seen_Yongsan_Station_2023.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Yeouido_Skyline_seen_Yongsan_Station_2023.jpg/960px-Yeouido_Skyline_seen_Yongsan_Station_2023.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Ox1997cow","2023-03-17 11:40:16","Category:Skylines in Seoul"
"12","고지대 전경","Namsan cityscape (cropped)","File:Namsan cityscape (cropped).jpg","2048","728","2024","https://commons.wikimedia.org/wiki/File%3ANamsan_cityscape_(cropped).jpg","https://upload.wikimedia.org/wikipedia/commons/a/a5/Namsan_cityscape_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Namsan_cityscape_%28cropped%29.jpg/960px-Namsan_cityscape_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 3.0","http://creativecommons.org/licenses/by-sa/3.0/","Wolfgang Schaefer (photographer)","2024-03-09 19:14:24","search: Seoul cityscape filetype:bitmap"
"13","고지대 전경","Bongeunsa Seoul 4","File:Bongeunsa Seoul 4.jpg","7100","4800","2022","https://commons.wikimedia.org/wiki/File%3ABongeunsa_Seoul_4.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c4/Bongeunsa_Seoul_4.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Bongeunsa_Seoul_4.jpg/960px-Bongeunsa_Seoul_4.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","kallerna","2022-12-06 10:40","search: Seoul panorama filetype:bitmap"
"14","고지대 전경","Bukchon-ro 11-gil 02","File:Bukchon-ro 11-gil 02.jpg","6016","4000","2020","https://commons.wikimedia.org/wiki/File%3ABukchon-ro_11-gil_02.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c8/Bukchon-ro_11-gil_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Bukchon-ro_11-gil_02.jpg/960px-Bukchon-ro_11-gil_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Tristan Surtel","2020-05-17 10:01:34","search: Seoul skyline filetype:bitmap"
"15","고지대 전경","Seoul city skyline at night from Namsan Mountain (49175035266)","File:Seoul city skyline at night from Namsan Mountain (49175035266).jpg","6000","4000","2025","https://commons.wikimedia.org/wiki/File%3ASeoul_city_skyline_at_night_from_Namsan_Mountain_(49175035266).jpg","https://upload.wikimedia.org/wikipedia/commons/3/34/Seoul_city_skyline_at_night_from_Namsan_Mountain_%2849175035266%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Seoul_city_skyline_at_night_from_Namsan_Mountain_%2849175035266%29.jpg/960px-Seoul_city_skyline_at_night_from_Namsan_Mountain_%2849175035266%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","Matt Kieffer from London, United Kingdom","2025-10-26 01:02:25","search: Seoul skyline filetype:bitmap"
"16","고지대 전경","Seoul city skyline at night from Namsan Mountain (49174548523)","File:Seoul city skyline at night from Namsan Mountain (49174548523).jpg","6000","4000","2025","https://commons.wikimedia.org/wiki/File%3ASeoul_city_skyline_at_night_from_Namsan_Mountain_(49174548523).jpg","https://upload.wikimedia.org/wikipedia/commons/7/73/Seoul_city_skyline_at_night_from_Namsan_Mountain_%2849174548523%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Seoul_city_skyline_at_night_from_Namsan_Mountain_%2849174548523%29.jpg/960px-Seoul_city_skyline_at_night_from_Namsan_Mountain_%2849174548523%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","Matt Kieffer from London, United Kingdom","2025-10-26 01:02:29","search: Seoul skyline filetype:bitmap"
"17","파노라마","Panoramic view of Hyangwonjeong Pavilion in its pond at Gyeongbokgung Palace with blue sky in Seoul","File:Panoramic view of Hyangwonjeong Pavilion in its pond at Gyeongbokgung Palace with blue sky in Seoul.jpg","6720","3360","2024","https://commons.wikimedia.org/wiki/File%3APanoramic_view_of_Hyangwonjeong_Pavilion_in_its_pond_at_Gyeongbokgung_Palace_with_blue_sky_in_Seoul.jpg","https://upload.wikimedia.org/wikipedia/commons/b/ba/Panoramic_view_of_Hyangwonjeong_Pavilion_in_its_pond_at_Gyeongbokgung_Palace_with_blue_sky_in_Seoul.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Panoramic_view_of_Hyangwonjeong_Pavilion_in_its_pond_at_Gyeongbokgung_Palace_with_blue_sky_in_Seoul.jpg/960px-Panoramic_view_of_Hyangwonjeong_Pavilion_in_its_pond_at_Gyeongbokgung_Palace_with_blue_sky_in_Seoul.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Basile Morin","2024-06-05 09:46:01","search: Seoul panorama filetype:bitmap"
"18","고지대 전경","Skyline of Yeouido, a prominent finance district in Seoul","File:Skyline of Yeouido, a prominent finance district in Seoul.jpg","5328","4000","2024","https://commons.wikimedia.org/wiki/File%3ASkyline_of_Yeouido%2C_a_prominent_finance_district_in_Seoul.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c9/Skyline_of_Yeouido%2C_a_prominent_finance_district_in_Seoul.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Skyline_of_Yeouido%2C_a_prominent_finance_district_in_Seoul.jpg/960px-Skyline_of_Yeouido%2C_a_prominent_finance_district_in_Seoul.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","S h y numis","2024-03-26 16:32:34","Category:Yeouido"
"19","한강 축","Seocho-gu Skyline from Han River — Dec 2023","File:Seocho-gu Skyline from Han River — Dec 2023.jpg","4032","3024","2023","https://commons.wikimedia.org/wiki/File%3ASeocho-gu_Skyline_from_Han_River_%E2%80%94_Dec_2023.jpg","https://upload.wikimedia.org/wikipedia/commons/3/30/Seocho-gu_Skyline_from_Han_River_%E2%80%94_Dec_2023.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Seocho-gu_Skyline_from_Han_River_%E2%80%94_Dec_2023.jpg/960px-Seocho-gu_Skyline_from_Han_River_%E2%80%94_Dec_2023.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","SpaceshipMe","2023-12-12 17:00:43","Category:Skylines in Seoul"
"20","고지대 전경","View of Yeouido skyline from Mapo Bridge","File:View of Yeouido skyline from Mapo Bridge.jpg","4032","3024","2023","https://commons.wikimedia.org/wiki/File%3AView_of_Yeouido_skyline_from_Mapo_Bridge.jpg","https://upload.wikimedia.org/wikipedia/commons/b/b1/View_of_Yeouido_skyline_from_Mapo_Bridge.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/View_of_Yeouido_skyline_from_Mapo_Bridge.jpg/960px-View_of_Yeouido_skyline_from_Mapo_Bridge.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","*Youngjin","2023-07-22 09:50:10","search: Seoul skyline filetype:bitmap"
"21","한강 축","Cityscape of Jung-gu Seoul Station Square 20240219","File:Cityscape of Jung-gu Seoul Station Square 20240219.jpg","3649","2747","2024","https://commons.wikimedia.org/wiki/File%3ACityscape_of_Jung-gu_Seoul_Station_Square_20240219.jpg","https://upload.wikimedia.org/wikipedia/commons/1/18/Cityscape_of_Jung-gu_Seoul_Station_Square_20240219.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Cityscape_of_Jung-gu_Seoul_Station_Square_20240219.jpg/960px-Cityscape_of_Jung-gu_Seoul_Station_Square_20240219.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","Sean Young (@assanges)","2024-02-19 13:50:08","search: Seoul cityscape filetype:bitmap"
"22","파노라마","Panorama of Seoul Youngdengpo Elementary School at Entrance Spot","File:Panorama of Seoul Youngdengpo Elementary School at Entrance Spot.jpg","4202","1637","2022","https://commons.wikimedia.org/wiki/File%3APanorama_of_Seoul_Youngdengpo_Elementary_School_at_Entrance_Spot.jpg","https://upload.wikimedia.org/wikipedia/commons/9/9e/Panorama_of_Seoul_Youngdengpo_Elementary_School_at_Entrance_Spot.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Panorama_of_Seoul_Youngdengpo_Elementary_School_at_Entrance_Spot.jpg/960px-Panorama_of_Seoul_Youngdengpo_Elementary_School_at_Entrance_Spot.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","호로조","2022-05-11 18:11:44","search: Seoul panorama filetype:bitmap"
"23","고지대 전경","Seoul, South Korea 🇰🇷 - Cityscape 2026","File:Seoul, South Korea 🇰🇷 - Cityscape 2026.jpg","2628","1952","2026","https://commons.wikimedia.org/wiki/File%3ASeoul%2C_South_Korea_%F0%9F%87%B0%F0%9F%87%B7_-_Cityscape_2026.jpg","https://upload.wikimedia.org/wikipedia/commons/5/5f/Seoul%2C_South_Korea_%F0%9F%87%B0%F0%9F%87%B7_-_Cityscape_2026.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Seoul%2C_South_Korea_%F0%9F%87%B0%F0%9F%87%B7_-_Cityscape_2026.jpg/960px-Seoul%2C_South_Korea_%F0%9F%87%B0%F0%9F%87%B7_-_Cityscape_2026.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","Sharon Hahn Darlin","2026-04-05 18:13:14","search: Seoul cityscape filetype:bitmap"
"24","한강 축","63 Building and Yeouido Han River Park at Night","File:63 Building and Yeouido Han River Park at Night.jpg","5312","2988","2022","https://commons.wikimedia.org/wiki/File%3A63_Building_and_Yeouido_Han_River_Park_at_Night.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d7/63_Building_and_Yeouido_Han_River_Park_at_Night.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/63_Building_and_Yeouido_Han_River_Park_at_Night.jpg/960px-63_Building_and_Yeouido_Han_River_Park_at_Night.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY 2.0","https://creativecommons.org/licenses/by/2.0","Patrick Park","2022-01-11 04:56:58","search: Han River Seoul panorama filetype:bitmap"
"25","한강 축","Han River and Lotte World Tower","File:Han River and Lotte World Tower.jpg","5218","2935","2021","https://commons.wikimedia.org/wiki/File%3AHan_River_and_Lotte_World_Tower.jpg","https://upload.wikimedia.org/wikipedia/commons/9/9c/Han_River_and_Lotte_World_Tower.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Han_River_and_Lotte_World_Tower.jpg/960px-Han_River_and_Lotte_World_Tower.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","mauveine.kim","2021-09-23 19:59:41","search: Han River Seoul panorama filetype:bitmap"
"26","한강 축","Hangang Railway Bridge and Yeouido","File:Hangang Railway Bridge and Yeouido.jpg","4032","1960","2021","https://commons.wikimedia.org/wiki/File%3AHangang_Railway_Bridge_and_Yeouido.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a3/Hangang_Railway_Bridge_and_Yeouido.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Hangang_Railway_Bridge_and_Yeouido.jpg/960px-Hangang_Railway_Bridge_and_Yeouido.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Ox1997cow","2021-06-22 20:24:38","Category:Yeouido"
"27","고지대 전경","Cityscape of Sanggye 3, 4 Dong","File:Cityscape of Sanggye 3, 4 Dong.jpg","4616","2510","2021","https://commons.wikimedia.org/wiki/File%3ACityscape_of_Sanggye_3%2C_4_Dong.jpg","https://upload.wikimedia.org/wikipedia/commons/d/dd/Cityscape_of_Sanggye_3%2C_4_Dong.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Cityscape_of_Sanggye_3%2C_4_Dong.jpg/960px-Cityscape_of_Sanggye_3%2C_4_Dong.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Ox1997cow","2021-03-09 13:28:24","Category:Cityscapes of Seoul"
"28","고지대 전경","Cityscape of Sanggye 3, 4, 5 Dong","File:Cityscape of Sanggye 3, 4, 5 Dong.jpg","4032","2268","2021","https://commons.wikimedia.org/wiki/File%3ACityscape_of_Sanggye_3%2C_4%2C_5_Dong.jpg","https://upload.wikimedia.org/wikipedia/commons/d/dc/Cityscape_of_Sanggye_3%2C_4%2C_5_Dong.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Cityscape_of_Sanggye_3%2C_4%2C_5_Dong.jpg/960px-Cityscape_of_Sanggye_3%2C_4%2C_5_Dong.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY 3.0","https://creativecommons.org/licenses/by/3.0","Ox1997cow","2021-04-19 19:13:32","Category:Cityscapes of Seoul"
"29","고지대 전경","Cityscape of Jung-gu Seoul Station Seoullo 7017 20240216","File:Cityscape of Jung-gu Seoul Station Seoullo 7017 20240216.jpg","4032","2268","2024","https://commons.wikimedia.org/wiki/File%3ACityscape_of_Jung-gu_Seoul_Station_Seoullo_7017_20240216.jpg","https://upload.wikimedia.org/wikipedia/commons/8/8c/Cityscape_of_Jung-gu_Seoul_Station_Seoullo_7017_20240216.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Cityscape_of_Jung-gu_Seoul_Station_Seoullo_7017_20240216.jpg/960px-Cityscape_of_Jung-gu_Seoul_Station_Seoullo_7017_20240216.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","Sean Young (@assanges)","2024-02-16 15:50:54","search: Seoul cityscape filetype:bitmap"
"30","고지대 전경","Seoul CBD near Eujiro and Namdaemunro","File:Seoul CBD near Eujiro and Namdaemunro.jpg","4000","2252","2025","https://commons.wikimedia.org/wiki/File%3ASeoul_CBD_near_Eujiro_and_Namdaemunro.jpg","https://upload.wikimedia.org/wikipedia/commons/2/25/Seoul_CBD_near_Eujiro_and_Namdaemunro.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Seoul_CBD_near_Eujiro_and_Namdaemunro.jpg/960px-Seoul_CBD_near_Eujiro_and_Namdaemunro.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","DtSeoul","2025-12-06","search: Seoul cityscape filetype:bitmap"
"31","고지대 전경","Seoul CBD along Namdaemunro","File:Seoul CBD along Namdaemunro.jpg","4000","2252","2025","https://commons.wikimedia.org/wiki/File%3ASeoul_CBD_along_Namdaemunro.jpg","https://upload.wikimedia.org/wikipedia/commons/9/96/Seoul_CBD_along_Namdaemunro.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Seoul_CBD_along_Namdaemunro.jpg/960px-Seoul_CBD_along_Namdaemunro.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","DtSeoul","2025-12-06","search: Seoul cityscape filetype:bitmap"
"32","고지대 전경","Seoul CBD along Euljiro near Euljiro 1-ga Station","File:Seoul CBD along Euljiro near Euljiro 1-ga Station.jpg","4000","2252","2025","https://commons.wikimedia.org/wiki/File%3ASeoul_CBD_along_Euljiro_near_Euljiro_1-ga_Station.jpg","https://upload.wikimedia.org/wikipedia/commons/f/fb/Seoul_CBD_along_Euljiro_near_Euljiro_1-ga_Station.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Seoul_CBD_along_Euljiro_near_Euljiro_1-ga_Station.jpg/960px-Seoul_CBD_along_Euljiro_near_Euljiro_1-ga_Station.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","DtSeoul","2025-12-06","search: Seoul cityscape filetype:bitmap"
"33","고지대 전경","Seoul CBD near Ujeonggukro and Namdaemunro","File:Seoul CBD near Ujeonggukro and Namdaemunro.jpg","4000","2252","2025","https://commons.wikimedia.org/wiki/File%3ASeoul_CBD_near_Ujeonggukro_and_Namdaemunro.jpg","https://upload.wikimedia.org/wikipedia/commons/6/6d/Seoul_CBD_near_Ujeonggukro_and_Namdaemunro.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Seoul_CBD_near_Ujeonggukro_and_Namdaemunro.jpg/960px-Seoul_CBD_near_Ujeonggukro_and_Namdaemunro.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","DtSeoul","2025-12-06","search: Seoul cityscape filetype:bitmap"
